zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
95030,STANDARD,Los Gatos,Monte Sereno,,CA,Santa Clara County,America/Los_Angeles,408,37.22,-121.99,NA,US,0,11508,
95031,PO BOX,Los Gatos,,,CA,Santa Clara County,America/Los_Angeles,408,37.12,-121.93,NA,US,0,1445,
95032,STANDARD,Los Gatos,,,CA,Santa Clara County,America/Los_Angeles,"408,650",37.23,-121.95,NA,US,0,21990,
95033,STANDARD,Los Gatos,,,CA,Santa Clara County,America/Los_Angeles,408,37.13,-121.94,NA,US,0,7196,
95035,STANDARD,Milpitas,,,CA,Santa Clara County,America/Los_Angeles,"408,510,650",37.44,-121.87,NA,US,0,54420,
95036,PO BOX,Milpitas,,,CA,Santa Clara County,America/Los_Angeles,408,37.24,-121.97,NA,US,0,1343,
95037,STANDARD,Morgan Hill,,,CA,Santa Clara County,America/Los_Angeles,408,37.17,-121.65,NA,US,0,35452,
95038,PO BOX,Morgan Hill,,,CA,Santa Clara County,America/Los_Angeles,408,37.08,-121.61,NA,US,0,1884,
95041,PO BOX,Mount Hermon,,,CA,Santa Cruz County,America/Los_Angeles,831,37.05,-122.05,NA,US,0,575,
95042,PO BOX,New Almaden,,,CA,Santa Clara County,America/Los_Angeles,,37.17,-121.82,NA,US,0,0,
95043,STANDARD,Paicines,,"New Idria, Panoche, Pinnacles, San Benito",CA,San Benito County,America/Los_Angeles,831,36.53,-120.96,NA,US,0,494,
95044,PO BOX,Redwood Estates,Redwood Est,Holy City,CA,Santa Clara County,America/Los_Angeles,408,37.15,-121.98,NA,US,0,0,
95045,STANDARD,San Juan Bautista,Sn Jun Batsta,,CA,San Benito County,America/Los_Angeles,"831,408",36.83,-121.51,NA,US,0,3345,
95046,STANDARD,San Martin,,,CA,Santa Clara County,America/Los_Angeles,408,37.1,-121.6,NA,US,0,5514,
95050,STANDARD,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,"408,619,650",37.34,-121.95,NA,US,0,26714,
95051,STANDARD,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,"408,925",37.35,-121.98,NA,US,0,45397,
95052,PO BOX,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,408,37.35,-121.95,NA,US,0,580,
95053,UNIQUE,Santa Clara,,Santa Clara University,CA,Santa Clara County,America/Los_Angeles,408,37.34,-121.93,NA,US,0,0,
95054,STANDARD,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,"408,650,831,949,858",37.39,-121.96,NA,US,0,20797,
95055,PO BOX,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,408,37.33,-121.98,NA,US,0,1075,
95056,PO BOX,Santa Clara,,,CA,Santa Clara County,America/Los_Angeles,408,37.4,-121.96,NA,US,0,795,
95060,STANDARD,Santa Cruz,"Bonny Doon, Scotts Valley",Paradise Park,CA,Santa Cruz County,America/Los_Angeles,"408,831,650",37.04,-122.1,NA,US,0,29968,
95061,PO BOX,Santa Cruz,,,CA,Santa Cruz County,America/Los_Angeles,831,36.97,-122.02,NA,US,0,1461,
95062,STANDARD,Santa Cruz,,,CA,Santa Cruz County,America/Los_Angeles,"831,408,415",36.97,-121.98,NA,US,0,26530,
95063,PO BOX,Santa Cruz,,,CA,Santa Cruz County,America/Los_Angeles,831,36.97,-122,NA,US,0,1484,
95064,STANDARD,Santa Cruz,,,CA,Santa Cruz County,America/Los_Angeles,831,36.98,-122.06,NA,US,0,890,
95065,STANDARD,Santa Cruz,,,CA,Santa Cruz County,America/Los_Angeles,831,37.03,-121.98,NA,US,0,6525,
95066,STANDARD,Scotts Valley,Santa Cruz,,CA,Santa Cruz County,America/Los_Angeles,"831,408",37.06,-122.01,NA,US,0,11926,
95067,PO BOX,Scotts Valley,Santa Cruz,,CA,Santa Cruz County,America/Los_Angeles,831,36.97,-122.03,NA,US,0,855,
95070,STANDARD,Saratoga,,,CA,Santa Clara County,America/Los_Angeles,"408,925,415",37.25,-122.06,NA,US,0,29525,
95071,PO BOX,Saratoga,,,CA,Santa Clara County,America/Los_Angeles,408,37.25,-122.03,NA,US,0,0,
95073,STANDARD,Soquel,,,CA,Santa Cruz County,America/Los_Angeles,"408,831",37.02,-121.94,NA,US,0,9169,
95075,STANDARD,Tres Pinos,,,CA,San Benito County,America/Los_Angeles,"831,408",36.77,-121.29,NA,US,0,603,
95076,STANDARD,Watsonville,"Corralitos, La Selva Bch, La Selva Beach, Mt Madonna, Pajaro, Royal Oaks",,CA,Santa Cruz County,America/Los_Angeles,"408,831,510",36.95,-121.72,NA,US,0,63437,
95077,PO BOX,Watsonville,,,CA,Santa Cruz County,America/Los_Angeles,831,36.91,-121.75,NA,US,0,3861,
95101,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,650",37.38,-121.89,NA,US,0,0,
95103,PO BOX,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.33,-121.89,NA,US,0,0,
95106,PO BOX,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.33,-121.89,NA,US,0,0,
95108,PO BOX,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.33,-122.08,NA,US,0,0,
95109,PO BOX,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.33,-121.89,NA,US,0,873,
