97,Oliveira Elementary School,K-6,public,94536
5431,Manuel De Vargas Elementary School,K-5,public,95129
7021,Rancho Cotate High School,9-12,public,94928
5542,Nordstrom Elementary School,K-6,public,95037
15828,Pacific Boychoir Academy,4-8,private,94611
23801,Spectrum Center, Inc.-Ygnacio Campus,9-12,private,94518
5609,Fairmeadow Elementary School,K-5,public,94306
6964,Foster City Elementary School,K-5,public,94404
255,Santa Fe Elementary School,K-5,public,94608
7096,Flowery Elementary School,K-5,public,95476
25512,Mission Hills Middle School,PK-8,private,94587
11005,New Technology High School,9-12,public,94559
26933,Archway School,5-8,private,94709
5525,Blossom Hill Elementary School,K-5,public,95032
8617,Redeemer Lutheran School,K-8,private,94062
8692,The College Preparatory School,9-12,private,94618
10884,Prospects High (Alternative) School,K-12,public,94509
30837,Bethany Elementary,K-8,public,95391
237,Markham Elementary School,K-5,public,94605
14760,Pajaro Valley High School,9-12,public,95076
9027,Lodi Seventh-Day Adventist Elementary School,K-8,private,95240
8665,Monte Vista Christian,6-12,private,95076
10411,Beach High School,8-12,private,95073
72,Cabrillo Elementary School,K-6,public,94536
5581,Mountain View High School,9-12,public,94040
9882,Sierra Elementary And High School,K-12,private,95051
6338,Argonne Elementary School,K-5,public,94121
12607,Clyde W. Needham Elementary School,K-6,public,95240
31606,Harvest Christian School Private Satellite Program,K-12,private,94954
14481,Learning In An Urban Community With High Achievement (L.U.C.H.A.),K-5,public,95116
11869,Downtown College Preparatory School,9-12,charter,95126
24041,Heidi Hall's New Song Isp,K-12,private,95409
15031,Mission Valley Rocp School,9-12,public,94538
8138,Saint Raphael Elementary School,K-8,private,94901
5510,Mt. Madonna High School,9-12,public,95020
13099,Challenger - Sunnyvale,K-8,private,94087
7054,Oak Grove Elementary/Willowside Middle School,1-8,charter,95401
5412,Capri Elementary School,K-5,charter,95008
5416,Lynhaven Elementary School,K-5,charter,95117
5477,John J. Montgomery Elementary School,K-6,public,95121
6592,Calla High School,9-12,public,95336
25843,Global Montessori International School,K-2,private,94710
5771,Scotts Valley Middle School,6-8,public,95066
224,La Escuelita Elementary School,K-5,public,94606
11313,New Horizons School,K-4,private,95063
5379,Millard Mccollam Elementary School,K-5,public,95127
5756,Bay View Elementary School,K-5,public,95060
5647,Adrian Wilcox High School,9-12,public,95051
5612,Walter Hays Elementary School,K-5,public,94301
3531,Snow Elementary School,K-5,public,94558
13918,East Oakland School Of The Arts,9-12,public,94605
24710,Stockton Intermediate School,4-8,public,95205
8421,Archbishop Hanna High School,8-12,private,95476
15809,American Christian Academy,1-12,private,95436
12059,Discovery Charter School,5-8,charter,95376
31590,Springbridge International School,K-1,private,95008
15360,Crestmont School,K-5,private,94805
