ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
95173, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 40.00, 100.00, 1475.00, 75.68, 0.61, 61.20, 5.00, 12.50, 40.00, 100.00
95172, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 24.00, 60.00, 1475.00, 75.68, 0.61, 61.20, 3.00, 7.50, 40.00, 100.00
95170, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 2.00, 5.00, 27.00, 67.50
94541, 18.04, 11.70, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, 58.84, 56.95, 14.60, 71.03, 4.00, 10.00, 2086.00, 65.61, 0.62, 62.30, 1.00, 2.50, 35.00, 87.50
94540, NA, NA, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, NA, NA, NA, NA, 11.00, 27.50, 2086.00, 65.61, 0.62, 62.30, 0.00, 0.00, 40.00, 100.00
95018, 50.48, 85.24, 0.26, 74.20, 14.24, 87.79, 2.86, 74.64, 58.53, 53.59, 4.20, 91.67, 9.00, 22.50, 0.00, 100.00, 0.64, 64.30, 1.00, 2.50, 29.00, 72.50
95019, 21.89, 20.41, 0.37, 63.30, 37.80, 63.08, -0.49, 100.00, 57.26, 39.74, 27.40, 45.63, 1.00, 2.50, 0.00, 100.00, 0.64, 63.60, 0.00, 0.00, 25.00, 62.50
94543, NA, NA, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, NA, NA, NA, NA, 14.00, 35.00, 2086.00, 65.61, 0.62, 62.30, 3.00, 7.50, 40.00, 100.00
94542, NA, NA, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, NA, NA, 16.90, 66.47, 1.00, 2.50, 2086.00, 65.61, 0.62, 62.30, 0.00, 0.00, 0.00, 0.00
94545, 18.04, 11.70, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, 58.84, 56.95, 8.90, 82.34, 1.00, 2.50, 2086.00, 65.61, 0.62, 62.30, 0.00, 0.00, 2.00, 5.00
94544, 18.04, 11.70, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, 58.84, 56.95, 13.00, 74.21, 2.00, 5.00, 2086.00, 65.61, 0.62, 62.30, 0.00, 0.00, 25.00, 62.50
94547, NA, NA, 0.23, 77.40, 21.86, 79.80, 0.23, 94.52, NA, NA, 6.70, 86.71, 17.00, 42.50, 901.00, 85.15, 0.67, 66.80, 0.00, 0.00, 40.00, 100.00
94546, NA, NA, 0.30, 69.70, 46.06, 54.42, 0.07, 95.76, NA, NA, 7.60, 84.92, 1.00, 2.50, 0.00, 100.00, 0.62, 61.70, 0.00, 0.00, 3.00, 7.50
95010, 31.35, 41.87, 0.49, 50.60, 26.24, 75.20, -0.01, 96.39, 58.82, 56.68, 8.30, 83.53, 9.00, 22.50, 3105.00, 48.81, 0.62, 61.80, 1.00, 2.50, 40.00, 100.00
95011, NA, NA, 0.46, 54.40, 36.34, 64.62, 0.03, 96.06, NA, NA, NA, NA, 10.00, 25.00, 1592.00, 73.76, 0.67, 67.20, 1.00, 2.50, 40.00, 100.00
95013, NA, NA, 0.00, 100.00, 48.45, 51.92, 0.00, 96.30, NA, NA, 0.00, 100.00, 2.00, 5.00, 0.00, 100.00, 0.00, 0.00, 1.00, 2.50, 9.00, 22.50
95014, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.50, 89.09, 4.00, 10.00, NA, NA, NA, NA, 0.00, 0.00, 2.00, 5.00
95015, 39.28, 59.85, 0.34, 65.90, 19.32, 82.46, 0.15, 95.14, NA, NA, NA, NA, 11.00, 27.50, 684.00, 88.72, 0.52, 52.00, 3.00, 7.50, 40.00, 100.00
95017, NA, NA, 0.42, 58.40, 9.97, 92.26, 0.32, 93.87, NA, NA, 11.00, 78.17, 0.00, 0.00, 0.00, 100.00, 0.93, 93.00, 0.00, 0.00, 0.00, 0.00
94938, NA, NA, 0.00, 100.00, 9.26, 93.01, 0.00, 96.30, NA, NA, 3.80, 92.46, 1.00, 2.50, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 2.00, 5.00
94939, 43.12, 68.56, 0.50, 49.90, 15.02, 86.97, -0.01, 96.36, 58.67, 55.04, 1.80, 96.43, 19.00, 47.50, 0.00, 100.00, 0.60, 59.70, 0.00, 0.00, 40.00, 100.00
94930, NA, NA, 0.41, 59.50, 10.74, 91.46, 0.02, 96.17, NA, NA, 5.40, 89.29, 11.00, 27.50, 840.00, 86.15, 0.77, 76.50, 2.00, 5.00, 40.00, 100.00
94931, 26.65, 31.22, 0.44, 56.20, 14.62, 87.39, 0.12, 95.37, 58.15, 49.41, 8.80, 82.54, 2.00, 5.00, 1314.00, 78.34, 0.67, 67.10, 0.00, 0.00, 7.00, 17.50
94933, NA, NA, 0.00, 100.00, 9.22, 93.05, 0.00, 96.30, NA, NA, 5.80, 88.49, 0.00, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
94937, NA, NA, 0.19, 80.60, 12.37, 89.75, -0.08, 96.92, NA, NA, 9.50, 81.15, 1.00, 2.50, 0.00, 100.00, 0.66, 66.00, 0.00, 0.00, 0.00, 0.00
95450, 39.87, 61.19, 0.22, 78.00, 6.32, 96.09, 0.37, 93.47, 54.17, 5.99, 8.50, 83.13, 3.00, 7.50, 0.00, 100.00, 0.67, 66.70, 0.00, 0.00, 8.00, 20.00
94188, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 9.00, 22.50, 2718.00, 55.19, 0.64, 64.20, 1.00, 2.50, 25.00, 62.50
95452, NA, NA, 0.18, 82.10, 14.38, 87.64, 1.23, 87.02, NA, NA, 4.00, 92.06, 5.00, 12.50, 0.00, 100.00, 0.65, 64.70, 0.00, 0.00, 34.00, 85.00
95304, 12.96, 0.19, 0.32, 68.50, 8.55, 93.75, 0.46, 92.84, 61.89, 90.15, 8.00, 84.13, 0.00, 0.00, 1241.00, 79.54, 0.63, 63.30, 0.00, 0.00, 0.00, 0.00
95269, 17.77, 11.09, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, 62.22, 93.73, NA, NA, 1.00, 2.50, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 40.00, 100.00
95267, 17.77, 11.09, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, 62.22, 93.73, NA, NA, 2.00, 5.00, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 40.00, 100.00
95065, 31.35, 41.87, 0.50, 49.70, 24.00, 77.55, 0.10, 95.56, 58.82, 56.68, 6.50, 87.10, 1.00, 2.50, 2810.00, 53.68, 0.58, 58.10, 0.00, 0.00, 0.00, 0.00
